Emitten,DER,Operating profit margin,sales growth,Return On Asset , Category
BIPI.JK, 2.11288829 , 1.17480945 , 1.10754993 , 10.0358342 ,
BOSS.JK, 3.2961694 , -5.47159158 , 0.62822331 , -0.23434755
MDKA.JK, 0.48473075 , 0.1754527 , 1.07852853 , 28.2646627
